dataset.id,dataset.title,id
633bafd527f49e4e8f8c0d40,Dispositif Premières pages par intercommunalité,4a5a4245-c918-4840-be80-d356227cad3f
633bafd4a3f5260a3ceacfa6,Plan de relance : projets soutenus par le ministère de la Culture,4b798b56-c1d4-4ad4-8395-cf7709d817bf
633bafd227f49e4e8f8c0d3f,Dispositif Premières pages par commune,b46441c4-a0dd-4642-be91-de1eb6b2720d
633669cd02685f4c8beacfa5,Contrats départementaux lecture,efb3b539-c7b5-4d46-866f-950aa440b5d3
633669cc67e8653a40eacfa6,Dispositif Premières pages par département,183d620b-bd2c-4081-b16c-a9d48f591516
633518ec6b559831b7eacfa4,Dépenses du ministère de la Culture par département,f6883692-2aa6-4c04-820e-f0186e29a884
633518ecb5deca30cdeacfa4,Dépenses du ministère de la Culture en région,70a59c37-bc10-4d85-add0-fe4123f55232
633518ec7d88ad6fb4eacfa4,Dépenses culturelles des régions par secteur,4abb95e9-cea3-4f81-aa32-355fa22d48ff
6308455a35e36b025049e2dc,Nuits de la lecture 2022,e0b0cf12-bb0d-401c-90f2-9c66273e62a8
62cf95993d99f22480f49334,Liste des festivals en France,47ac11c2-8a00-46a7-9fa8-9b802643f975
62ba7ce5f275fa925aa1f848,Déplacements des présidents de la République et des premiers ministres depuis 1945,d6df4e06-d55c-4616-a974-2b53d0d4e025
62b6885976485f1b15a1f84a,Tombes militaires de 1870-1871,732b6eae-f13d-442c-9ce4-e8a9edbef2cd
62b6885766e6c0f18fa1f849,Moulins et meuniers en 1801,a8f094da-8aa1-41ca-997f-790657993c99
62b6885593d5659857a1f84c,Enquêtes sur les moulins de 1794 à 1809,912c2c2f-9a5f-4316-8671-c2d995f55ca5
628da9ff6a98df840ec7fd48,Bannissement des députés de la Convention nationale ayant voté la mort du roi Louis XVI (1816),d0d5602a-aebf-4501-8891-b30ce83a417c
628da9ff836d8bf454c7fd48,Liste des sites patrimoniaux remarquables (SPR),b916f51e-7252-41c2-8a0e-eb47e0c9292b
628da9ffef366eb8a2c7fd49,"Imprimeurs, libraires et lithographes en France au 19e siècle",1c3f80c4-ace5-41ef-b6e1-983a8ccb5c69
628da9fdef366eb8a2c7fd48,"Pensions et secours aux combattants et victimes des révolutions de 1789, 1830 et 1848",fd404fcc-9f4f-4ed2-b06a-b4eea9b64771
62676ea6a33822fcdcf11a3b,Nuit européenne des musées 2022,ca5170ad-4bfd-43c0-8c87-ec0e75495725
62676ea6a33822fcdcf11a3b,Nuit européenne des musées 2022,bc6666a0-1f04-4470-80c8-88cb4df650ff
62676ea6a33822fcdcf11a3b,Nuit européenne des musées 2022,4e116a2a-425c-41be-b003-909b7eb28522
62676ea6a33822fcdcf11a3b,Nuit européenne des musées 2022,2a63dac1-fc2f-4cb1-b591-5e9e53685a03
62676ea6a33822fcdcf11a3b,Nuit européenne des musées 2022,bf290df4-0e34-4308-918a-daf99bc06919
